action_id,scenario_id,action,owner,meeting,estimated_margin_impact,due_week
ACT-001,SCN-001,Raise rate or reduce dealer incentive,Pricing manager,Product council,83626.08,2026-06-05
ACT-002,SCN-002,Raise rate or reduce dealer incentive,Pricing manager,S&OP,59787.92,2026-06-12
ACT-003,SCN-003,Raise rate or reduce dealer incentive,Pricing manager,S&OP,74911.09,2026-06-12
ACT-004,SCN-004,Raise rate or reduce dealer incentive,Product lead,Product council,142023.83,2026-06-19
ACT-005,SCN-005,Raise rate or reduce dealer incentive,Analytics,S&OP,58839.89,2026-06-05
ACT-006,SCN-006,Raise rate or reduce dealer incentive,Pricing manager,S&OP,71823.31,2026-06-19
ACT-007,SCN-007,Raise rate or reduce dealer incentive,Dealer ops,S&OP,61346.23,2026-06-12
ACT-008,SCN-008,Raise rate or reduce dealer incentive,Dealer ops,S&OP,76006.39,2026-06-19
ACT-009,SCN-009,Reprice to defend installer proposal flow,Analytics,Weekly pricing review,127743.08,2026-06-12
ACT-010,SCN-010,Expand into next operating review,Analytics,Weekly pricing review,61960.46,2026-06-12
ACT-011,SCN-011,Monitor in weekly pricing digest,Pricing manager,S&OP,35515.41,2026-06-05
ACT-012,SCN-012,Expand into next operating review,Dealer ops,Product council,102393.09,2026-06-05
ACT-013,SCN-013,Expand into next operating review,Pricing manager,Platform QA standup,127533.38,2026-06-05
ACT-014,SCN-014,Hold launch until pricing QA clears,Analytics,Weekly pricing review,12000,2026-06-26
ACT-015,SCN-015,Reprice to defend installer proposal flow,Product lead,S&OP,54841.35,2026-06-12
ACT-016,SCN-016,Raise rate or reduce dealer incentive,Pricing manager,S&OP,16002.87,2026-06-05
ACT-017,SCN-017,Expand into next operating review,Pricing manager,S&OP,328784.08,2026-06-19
ACT-018,SCN-018,Expand into next operating review,Pricing manager,Weekly pricing review,54106.83,2026-06-19
ACT-019,SCN-019,Monitor in weekly pricing digest,Pricing manager,Weekly pricing review,23916.93,2026-06-19
ACT-020,SCN-020,Monitor in weekly pricing digest,Analytics,Platform QA standup,12000,2026-06-05
ACT-021,SCN-021,Raise rate or reduce dealer incentive,Pricing manager,Platform QA standup,121207.58,2026-06-19
ACT-022,SCN-022,Raise rate or reduce dealer incentive,Analytics,Weekly pricing review,79491.39,2026-06-05
ACT-023,SCN-023,Raise rate or reduce dealer incentive,Product lead,S&OP,126683.74,2026-06-12
ACT-024,SCN-024,Raise rate or reduce dealer incentive,Pricing manager,S&OP,102502.34,2026-06-05
ACT-025,SCN-025,Raise rate or reduce dealer incentive,Dealer ops,Weekly pricing review,170508.23,2026-06-19
ACT-026,SCN-026,Raise rate or reduce dealer incentive,Product lead,S&OP,65626.85,2026-06-05
ACT-027,SCN-027,Raise rate or reduce dealer incentive,Analytics,Platform QA standup,64328.89,2026-06-26
ACT-028,SCN-028,Raise rate or reduce dealer incentive,Pricing manager,S&OP,60538.39,2026-06-12
ACT-029,SCN-029,Reprice to defend installer proposal flow,Pricing manager,S&OP,12000,2026-06-26
ACT-030,SCN-030,Expand into next operating review,Product lead,Product council,45166.79,2026-06-19
ACT-031,SCN-031,Expand into next operating review,Product lead,S&OP,41622.16,2026-06-19
ACT-032,SCN-032,Raise rate or reduce dealer incentive,Analytics,Product council,26060.1,2026-06-05
ACT-033,SCN-033,Raise rate or reduce dealer incentive,Product lead,Weekly pricing review,44552.76,2026-06-05
ACT-034,SCN-034,Raise rate or reduce dealer incentive,Analytics,Weekly pricing review,40294.99,2026-06-12
ACT-035,SCN-035,Raise rate or reduce dealer incentive,Dealer ops,Platform QA standup,66668.18,2026-06-05
ACT-036,SCN-036,Raise rate or reduce dealer incentive,Pricing manager,Weekly pricing review,91961.22,2026-06-19
